timestamp,Serena Villata,François Hug,Cornelia Meinert,Pr Gauci,Jean-Baptiste Caillau,Lise Arena,Cédric Richard,Agnès Festré
2025-11-18T00:58:12.631Z,323,934,2314,1550,2101,223,220,44
2025-11-18T00:58:42.793Z,323,934,2314,1550,2101,223,220,44
2025-11-18T00:59:12.983Z,323,934,2314,1550,2101,223,220,44
2025-11-18T00:59:43.144Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:00:13.430Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:00:43.584Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:01:13.769Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:01:43.978Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:02:14.104Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:02:44.318Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:03:14.453Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:03:44.661Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:04:14.819Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:04:45.016Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:05:15.205Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:05:45.380Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:06:15.551Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:06:45.707Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:07:15.875Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:07:46.052Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:08:16.240Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:08:46.478Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:09:16.617Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:09:46.811Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:10:16.968Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:10:47.125Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:11:17.281Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:11:47.449Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:12:17.605Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:12:47.777Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:13:17.933Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:13:48.072Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:14:18.272Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:14:48.428Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:15:18.639Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:15:48.778Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:16:18.940Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:16:49.080Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:17:19.237Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:17:49.369Z,323,934,2314,1550,2101,223,220,44
2025-11-18T01:18:19.520Z,323,934,2314,1550,2101,223,220,44
